title,author,release_year,audience,genre,book_length,rating,number_of_ratings,read,
All Rhodes Lead Here,Mariana Zapata,2021,Adult, Romance, 598 pages,4.35,70129,,
All the Bright Places,Jennifer Niven,2015,Young Adult, Fiction, 400 pages,4.14,471843,TRUE,
"All the Feels (Spoiler Alert, #2)",Olivia Dade,2021,Adult, Contemporary Fiction, 316 pages,3.92,15136,,
"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,2007,Adult, Paranormal, 336 pages,4.05,195863,,
All Your Perfects,Colleen Hoover,2018,Adult, Contemporary Romance, 308 pages,4.23,282321,,
"Allegiant (Divergent, #3)",Veronica Roth,2013,Young Adult, Dystopian Fiction, 544 pages,3.61,961821,TRUE,
"Almost Heaven (Sequels, #3)",Judith McNaught,1989,Adult, Historical Romance, 513 pages,4.34,26999,,
Alone With You in the Ether ,Olivie Blake,2020,Young Adult, Fantasy, 448 pages,4.2,18789,TRUE,
Along for the Ride ,Sarah Dessen,2009,Young Adult, Fiction, 383 pages,4.04,200653,TRUE,
"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,2017,Young Adult, Contemporary, 336 pages,4.04,215156,TRUE,
